"id","user_id","lobby_wait_id"
1914,3141,11602
1915,3134,11603
1916,3116,11607
1917,3122,11608
1918,2816,11611
1919,3127,11610
1920,3133,11615
1921,3128,11614
1922,3112,11619
1923,3140,11618
1924,2816,11624
1925,3126,11625
1926,2734,11623
1927,3134,11627
1928,2660,11629
1929,3141,11632
1930,2734,11633
1931,3116,11635
1932,3120,11638
1933,2734,11640
1934,3134,11643
1935,3126,11642
1936,3132,11645
1937,3127,11648
1938,3128,11650
1939,3127,11653
1940,2660,11654
1941,3132,11655
1942,3140,11657
1943,2816,11660
1944,3133,11662
1945,2660,11664
1946,3122,11665
1947,3120,11667
1948,3128,11671
1949,3132,11672
1950,2734,11673
1952,3141,11677
1953,3120,11678
1954,3112,11680
1955,3134,11686
1956,3122,11684
1957,3126,11688
1958,3140,11692
1959,3133,11694
1960,3116,11690
1961,3112,11696
1962,3116,11697
1963,3141,11698
1964,3145,11704
1965,3126,11705
1966,3140,11707
1967,2816,11708
1968,3133,11711
1969,3145,11715
1970,3155,11720
1971,3165,11728
1973,3165,11732
1974,3183,11734
1975,3182,11738
1977,3184,11741
1979,3182,11744
1980,3058,11745
1982,3100,11751
1983,3058,11752
1984,3083,11756
1985,3184,11753
1986,3165,11758
1987,3058,11761
1990,3182,11767
1991,3184,11768
1992,3083,11770
1993,3187,11775
1994,3183,11774
1995,3185,11776
1996,3100,11782
1997,3186,11783
1998,3183,11784
1999,3185,11787
2000,3186,11789
2001,3182,11786
2002,3083,11788
2003,3058,11795
2004,3185,11801
2005,3186,11796
2006,3186,11805
2007,3252,11815
2008,3253,11816
2009,3109,11818
2010,3261,11821
2011,3156,11823
2012,3265,11825
2013,2805,11826
2014,3267,11830
2015,2805,11829
2016,3256,11833
2017,3156,11835
2018,3265,11836
2019,3252,11837
2020,3255,11840
2021,3109,11843
2022,3267,11844
2023,3255,11845
2024,2805,11848
2025,3261,11850
2026,3255,11853
2027,3252,11854
2028,3265,11856
2029,3256,11859
2030,3156,11861
2031,3264,11863
2032,3265,11865
2033,3253,11866
2034,2805,11869
2035,3264,11871
2036,3264,11875
2037,3255,11872
2038,3253,11877
2039,3261,11880
2040,3267,11882
2041,3109,11883
2042,3156,11887
2043,3253,11888
2044,3256,11886
2045,3267,11889
2046,3264,11893
2047,3109,11895
2050,3309,11912
2051,3085,11917
2052,3047,11918
2053,3329,11920
2054,3155,11923
2055,3178,11924
2056,3333,11927
2058,3328,11931
2059,3178,11932
2060,3085,11933
2061,3041,11937
2062,3328,11938
2063,3308,11940
2064,3341,11943
2065,3333,11945
2066,3307,11946
2067,3322,11950
2068,3329,11951
2069,3178,11954
2070,3335,11953
2071,3339,11956
2072,3337,11959
2073,3041,11960
2074,3333,11964
2075,3327,11963
2076,3322,11967
2077,3085,11966
2078,3329,11970
2079,3328,11973
2080,3335,11975
2081,3307,11976
2082,3341,11980
2083,3339,11981
2084,3155,11984
2085,3341,11983
2086,3304,11989
2087,3322,11990
2088,3047,11988
2089,3337,11993
2090,3178,11995
2091,3339,11997
2092,3085,11998
2093,3304,12002
2094,3327,12003
2095,3337,12005
2096,3333,12006
2097,3328,12009
2098,3341,12010
2099,3047,12011
2100,3307,12015
2101,3339,12017
2102,3329,12018
2103,3327,12022
2104,3308,12023
2105,3304,12026
2106,3343,12027
2107,3304,12028
2108,3155,12029
2109,3322,12033
2110,3335,12034
2111,3308,12035
2112,3307,12040
2113,3337,12042
2114,3041,12043
2115,3335,12046
2116,3047,12047
2118,3308,12051
2119,3041,12054
2120,3327,12057
2121,3343,12060
2122,3343,12061
2123,3310,12063
2124,3310,12064
2125,3343,12065
2126,3350,12069
2128,3209,12072
2129,3350,12074
2130,3358,12077
2131,3310,12078
2132,3347,12080
2133,3355,12083
2134,3298,12085
2135,3358,12086
2136,3209,12089
2137,3361,12091
2138,3347,12092
2139,3352,12095
2140,3359,12097
2141,3310,12096
2142,3284,12100
2143,3298,12102
2144,3349,12104
2145,3358,12106
2146,3361,12109
2147,3347,12108
2148,3350,12112
2149,3361,12116
2150,3359,12117
2151,3298,12119
2152,3209,12118
2153,3209,12124
2154,3352,12123
2155,3284,12129
2156,3355,12130
2157,3359,12131
2158,3350,12133
2159,3358,12136
2160,3349,12134
2161,3347,12142
2162,3298,12140
2163,3361,12144
2165,3349,12146
2166,3352,12151
2167,3284,12152
2168,3355,12156
2169,3284,12153
2170,3390,12168
2171,3390,12170
2172,3399,12176
2173,3432,12182
2175,3370,12185
2176,3172,12189
2177,3363,12190
2179,3436,12193
2180,3370,12195
2181,3160,12198
2182,3434,12199
2183,3172,12200
2184,3443,12204
2185,3444,12205
2186,3431,12209
2187,3436,12208
2188,3432,12211
2189,3398,12213
2190,3370,12216
2191,2448,12218
2192,3443,12219
2193,3432,12223
2194,3441,12222
2195,3431,12225
2196,3444,12228
2197,2448,12229
2198,3448,12232
2199,3443,12233
2200,3160,12234
2202,3370,12241
2203,3431,12240
2204,3441,12244
2205,3436,12246
2207,3448,12252
2209,2448,12256
2210,3444,12258
2211,3398,12260
2212,3363,12261
2213,3172,12265
2214,2448,12266
2215,3434,12264
2216,3431,12270
2217,3363,12275
2218,3432,12276
2219,3398,12273
2220,3160,12274
2221,3436,12279
2222,3160,12284
2223,3172,12280
2224,3363,12288
2225,3441,12285
2226,3398,12291
2228,3444,12295
2230,3448,12303
2231,3443,12307
2232,3441,12306
5062,3611,15721
5067,3631,15726
5071,3625,15730
5073,3636,15732
5081,3634,15740
5082,3635,15741
6565,3643,17243
6568,3611,17246
6570,3608,17248
6573,3660,17251
6575,3661,17253
6576,3662,17254
6577,3664,17255
6584,3643,17260
6588,3670,17262
6590,3671,17263
6597,3608,17268
6599,3675,17273
6601,3679,17277
6602,3664,17278
6604,3666,17282
6605,3681,17284
6607,3643,17288
6608,3679,17292
6609,3659,17291
6610,3671,17294
6611,3681,17296
6612,3683,17299
6614,3684,17302
6615,3658,17304
6616,3673,17307
6617,3611,17308
6618,3664,17311
6619,3661,17312
6620,3687,17314
6621,3665,17316
6622,3690,17319
